SROM fields,,,,,,BCM943602X100EVB_6 Rev 13 (FCC),,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
1272,4F8,636,27C,tssi6_chan2_c2 / tssi7_chan2_c2,0xffff,b7:0 - tssi6_chan2_c2 ; b15:8 - tssi7_chan2_c2,,
1274,4FA,637,27D,tssi8_chan2_c2 / tssi9_chan2_c2,0xffff,b7:0 - tssi8_chan2_c2 ; b15:8 - tssi9_chan2_c2,,
1276,4FC,638,27E,tssi10_chan2_c2 / tssi11_chan2_c2,0xffff,b7:0 - tssi10_chan2_c2 ; b15:8 - tssi11_chan2_c2,,
1278,4FE,639,27F,tssi12_chan2_c2 / tssi13_chan2_c2,0xffff,b7:0 - tssi12_chan2_c2 ; b15:8 - tssi13_chan2_c2,,
1280,500,640,280,tssi14_chan2_c2 / tssi15_chan2_c2,0xffff,b7:0 - tssi14_chan2_c2 ; b15:8 - tssi15_chan2_c2,,
1282,502,641,281,tssi16_chan2_c2 / tssi17_chan2_c2,0xffff,b7:0 - tssi16_chan2_c2 ; b15:8 - tssi17_chan2_c2,,
1284,504,642,282,tssi18_chan2_c2 / tssi19_chan2_c2,0xffff,b7:0 - tssi18_chan2_c2 ; b15:8 - tssi19_chan2_c2,,
1286,506,643,283,tssi20_chan2_c2 / tssi21_chan2_c2,0xffff,b7:0 - tssi20_chan2_c2 ; b15:8 - tssi21_chan2_c2,,
1288,508,644,284,tssi0_chan3_c0 / tssi1_chan3_c0,0xffff,b7:0 - tssi0_chan3_c0 ; b15:8 - tssi1_chan3_c0,,
1290,50A,645,285,tssi2_chan3_c0 / tssi3_chan3_c0,0xffff,b7:0 - tssi2_chan3_c0 ; b15:8 - tssi3_chan3_c0,,
1292,50C,646,286,tssi4_chan3_c0 / tssi5_chan3_c0,0xffff,b7:0 - tssi4_chan3_c0 ; b15:8 - tssi5_chan3_c0,,
1294,50E,647,287,tssi6_chan3_c0 / tssi7_chan3_c0,0xffff,b7:0 - tssi6_chan3_c0 ; b15:8 - tssi7_chan3_c0,,
1296,510,648,288,tssi8_chan3_c0 / tssi9_chan3_c0,0xffff,b7:0 - tssi8_chan3_c0 ; b15:8 - tssi9_chan3_c0,,
1298,512,649,289,tssi10_chan3_c0 / tssi11_chan3_c0,0xffff,b7:0 - tssi10_chan3_c0 ; b15:8 - tssi11_chan3_c0,,
1300,514,650,28A,tssi12_chan3_c0 / tssi13_chan3_c0,0xffff,b7:0 - tssi12_chan3_c0 ; b15:8 - tssi13_chan3_c0,,
1302,516,651,28B,tssi14_chan3_c0 / tssi15_chan3_c0,0xffff,b7:0 - tssi14_chan3_c0 ; b15:8 - tssi15_chan3_c0,,
1304,518,652,28C,tssi16_chan3_c0 / tssi17_chan3_c0,0xffff,b7:0 - tssi16_chan3_c0 ; b15:8 - tssi17_chan3_c0,,
1306,51A,653,28D,tssi18_chan3_c0 / tssi19_chan3_c0,0xffff,b7:0 - tssi18_chan3_c0 ; b15:8 - tssi19_chan3_c0,,
1308,51C,654,28E,tssi20_chan3_c0 / tssi21_chan3_c0,0xffff,b7:0 - tssi20_chan3_c0 ; b15:8 - tssi21_chan3_c0,,
1310,51E,655,28F,tssi0_chan3_c1 / tssi1_chan3_c1,0xffff,b7:0 - tssi0_chan3_c1 ; b15:8 - tssi1_chan3_c1,,
1312,520,656,290,tssi2_chan3_c1 / tssi3_chan3_c1,0xffff,b7:0 - tssi2_chan3_c1 ; b15:8 - tssi3_chan3_c1,,
1314,522,657,291,tssi4_chan3_c1 / tssi5_chan3_c1,0xffff,b7:0 - tssi4_chan3_c1 ; b15:8 - tssi5_chan3_c1,,
1316,524,658,292,tssi6_chan3_c1 / tssi7_chan3_c1,0xffff,b7:0 - tssi6_chan3_c1 ; b15:8 - tssi7_chan3_c1,,
1318,526,659,293,tssi8_chan3_c1 / tssi9_chan3_c1,0xffff,b7:0 - tssi8_chan3_c1 ; b15:8 - tssi9_chan3_c1,,
1320,528,660,294,tssi10_chan3_c1 / tssi11_chan3_c1,0xffff,b7:0 - tssi10_chan3_c1 ; b15:8 - tssi11_chan3_c1,,
1322,52A,661,295,tssi12_chan3_c1 / tssi13_chan3_c1,0xffff,b7:0 - tssi12_chan3_c1 ; b15:8 - tssi13_chan3_c1,,
1324,52C,662,296,tssi14_chan3_c1 / tssi15_chan3_c1,0xffff,b7:0 - tssi14_chan3_c1 ; b15:8 - tssi15_chan3_c1,,
1326,52E,663,297,tssi16_chan3_c1 / tssi17_chan3_c1,0xffff,b7:0 - tssi16_chan3_c1 ; b15:8 - tssi17_chan3_c1,,
1328,530,664,298,tssi18_chan3_c1 / tssi19_chan3_c1,0xffff,b7:0 - tssi18_chan3_c1 ; b15:8 - tssi19_chan3_c1,,
1330,532,665,299,tssi20_chan3_c1 / tssi21_chan3_c1,0xffff,b7:0 - tssi20_chan3_c1 ; b15:8 - tssi21_chan3_c1,,
1332,534,666,29A,tssi0_chan3_c2 / tssi1_chan3_c2,0xffff,b7:0 - tssi0_chan3_c2 ; b15:8 - tssi1_chan3_c2,,
1334,536,667,29B,tssi2_chan3_c2 / tssi3_chan3_c2,0xffff,b7:0 - tssi2_chan3_c2 ; b15:8 - tssi3_chan3_c2,,
1336,538,668,29C,tssi4_chan3_c2 / tssi5_chan3_c2,0xffff,b7:0 - tssi4_chan3_c2 ; b15:8 - tssi5_chan3_c2,,
1338,53A,669,29D,tssi6_chan3_c2 / tssi7_chan3_c2,0xffff,b7:0 - tssi6_chan3_c2 ; b15:8 - tssi7_chan3_c2,,
1340,53C,670,29E,tssi8_chan3_c2 / tssi9_chan3_c2,0xffff,b7:0 - tssi8_chan3_c2 ; b15:8 - tssi9_chan3_c2,,
1342,53E,671,29F,tssi10_chan3_c2 / tssi11_chan3_c2,0xffff,b7:0 - tssi10_chan3_c2 ; b15:8 - tssi11_chan3_c2,,
1344,540,672,2A0,tssi12_chan3_c2 / tssi13_chan3_c2,0xffff,b7:0 - tssi12_chan3_c2 ; b15:8 - tssi13_chan3_c2,,
1346,542,673,2A1,tssi14_chan3_c2 / tssi15_chan3_c2,0xffff,b7:0 - tssi14_chan3_c2 ; b15:8 - tssi15_chan3_c2,,
1348,544,674,2A2,tssi16_chan3_c2 / tssi17_chan3_c2,0xffff,b7:0 - tssi16_chan3_c2 ; b15:8 - tssi17_chan3_c2,,
1350,546,675,2A3,tssi18_chan3_c2 / tssi19_chan3_c2,0xffff,b7:0 - tssi18_chan3_c2 ; b15:8 - tssi19_chan3_c2,,
1352,548,676,2A4,tssi20_chan3_c2 / tssi21_chan3_c2,0xffff,b7:0 - tssi20_chan3_c2 ; b15:8 - tssi21_chan3_c2,,
1354,54A,677,2A5,tssi0_chan4_c0 / tssi1_chan4_c0,0xffff,b7:0 - tssi0_chan4_c0 ; b15:8 - tssi1_chan4_c0,,
1356,54C,678,2A6,tssi2_chan4_c0 / tssi3_chan4_c0,0xffff,b7:0 - tssi2_chan4_c0 ; b15:8 - tssi3_chan4_c0,,
1358,54E,679,2A7,tssi4_chan4_c0 / tssi5_chan4_c0,0xffff,b7:0 - tssi4_chan4_c0 ; b15:8 - tssi5_chan4_c0,,
1360,550,680,2A8,tssi6_chan4_c0 / tssi7_chan4_c0,0xffff,b7:0 - tssi6_chan4_c0 ; b15:8 - tssi7_chan4_c0,,
1362,552,681,2A9,tssi8_chan4_c0 / tssi9_chan4_c0,0xffff,b7:0 - tssi8_chan4_c0 ; b15:8 - tssi9_chan4_c0,,
1364,554,682,2AA,tssi10_chan4_c0 / tssi11_chan4_c0,0xffff,b7:0 - tssi10_chan4_c0 ; b15:8 - tssi11_chan4_c0,,
1366,556,683,2AB,tssi12_chan4_c0 / tssi13_chan4_c0,0xffff,b7:0 - tssi12_chan4_c0 ; b15:8 - tssi13_chan4_c0,,
1368,558,684,2AC,tssi14_chan4_c0 / tssi15_chan4_c0,0xffff,b7:0 - tssi14_chan4_c0 ; b15:8 - tssi15_chan4_c0,,
1370,55A,685,2AD,tssi16_chan4_c0 / tssi17_chan4_c0,0xffff,b7:0 - tssi16_chan4_c0 ; b15:8 - tssi17_chan4_c0,,
1372,55C,686,2AE,tssi18_chan4_c0 / tssi19_chan4_c0,0xffff,b7:0 - tssi18_chan4_c0 ; b15:8 - tssi19_chan4_c0,,
1374,55E,687,2AF,tssi20_chan4_c0 / tssi21_chan4_c0,0xffff,b7:0 - tssi20_chan4_c0 ; b15:8 - tssi21_chan4_c0,,
1376,560,688,2B0,tssi0_chan4_c1 / tssi1_chan4_c1,0xffff,b7:0 - tssi0_chan4_c1 ; b15:8 - tssi1_chan4_c1,,
1378,562,689,2B1,tssi2_chan4_c1 / tssi3_chan4_c1,0xffff,b7:0 - tssi2_chan4_c1 ; b15:8 - tssi3_chan4_c1,,
1380,564,690,2B2,tssi4_chan4_c1 / tssi5_chan4_c1,0xffff,b7:0 - tssi4_chan4_c1 ; b15:8 - tssi5_chan4_c1,,
1382,566,691,2B3,tssi6_chan4_c1 / tssi7_chan4_c1,0xffff,b7:0 - tssi6_chan4_c1 ; b15:8 - tssi7_chan4_c1,,
1384,568,692,2B4,tssi8_chan4_c1 / tssi9_chan4_c1,0xffff,b7:0 - tssi8_chan4_c1 ; b15:8 - tssi9_chan4_c1,,
1386,56A,693,2B5,tssi10_chan4_c1 / tssi11_chan4_c1,0xffff,b7:0 - tssi10_chan4_c1 ; b15:8 - tssi11_chan4_c1,,
1388,56C,694,2B6,tssi12_chan4_c1 / tssi13_chan4_c1,0xffff,b7:0 - tssi12_chan4_c1 ; b15:8 - tssi13_chan4_c1,,
1390,56E,695,2B7,tssi14_chan4_c1 / tssi15_chan4_c1,0xffff,b7:0 - tssi14_chan4_c1 ; b15:8 - tssi15_chan4_c1,,
1392,570,696,2B8,tssi16_chan4_c1 / tssi17_chan4_c1,0xffff,b7:0 - tssi16_chan4_c1 ; b15:8 - tssi17_chan4_c1,,
1394,572,697,2B9,tssi18_chan4_c1 / tssi19_chan4_c1,0xffff,b7:0 - tssi18_chan4_c1 ; b15:8 - tssi19_chan4_c1,,
1396,574,698,2BA,tssi20_chan4_c1 / tssi21_chan4_c1,0xffff,b7:0 - tssi20_chan4_c1 ; b15:8 - tssi21_chan4_c1,,
1398,576,699,2BB,tssi0_chan4_c2 / tssi1_chan4_c2,0xffff,b7:0 - tssi0_chan4_c2 ; b15:8 - tssi1_chan4_c2,,
1400,578,700,2BC,tssi2_chan4_c2 / tssi3_chan4_c2,0xffff,b7:0 - tssi2_chan4_c2 ; b15:8 - tssi3_chan4_c2,,
1402,57A,701,2BD,tssi4_chan4_c2 / tssi5_chan4_c2,0xffff,b7:0 - tssi4_chan4_c2 ; b15:8 - tssi5_chan4_c2,,
1404,57C,702,2BE,tssi6_chan4_c2 / tssi7_chan4_c2,0xffff,b7:0 - tssi6_chan4_c2 ; b15:8 - tssi7_chan4_c2,,
1406,57E,703,2BF,tssi8_chan4_c2 / tssi9_chan4_c2,0xffff,b7:0 - tssi8_chan4_c2 ; b15:8 - tssi9_chan4_c2,,
1408,580,704,2C0,tssi10_chan4_c2 / tssi11_chan4_c2,0xffff,b7:0 - tssi10_chan4_c2 ; b15:8 - tssi11_chan4_c2,,
1410,582,705,2C1,tssi12_chan4_c2 / tssi13_chan4_c2,0xffff,b7:0 - tssi12_chan4_c2 ; b15:8 - tssi13_chan4_c2,,
1412,584,706,2C2,tssi14_chan4_c2 / tssi15_chan4_c2,0xffff,b7:0 - tssi14_chan4_c2 ; b15:8 - tssi15_chan4_c2,,
1414,586,707,2C3,tssi16_chan4_c2 / tssi17_chan4_c2,0xffff,b7:0 - tssi16_chan4_c2 ; b15:8 - tssi17_chan4_c2,,
1416,588,708,2C4,tssi18_chan4_c2 / tssi19_chan4_c2,0xffff,b7:0 - tssi18_chan4_c2 ; b15:8 - tssi19_chan4_c2,,
1418,58A,709,2C5,tssi20_chan4_c2 / tssi21_chan4_c2,0xffff,b7:0 - tssi20_chan4_c2 ; b15:8 - tssi21_chan4_c2,,
1420,58C,710,2C6,tssi0_chan5_c0 / tssi1_chan5_c0,0xffff,b7:0 - tssi0_chan5_c0 ; b15:8 - tssi1_chan5_c0,,
1422,58E,711,2C7,tssi2_chan5_c0 / tssi3_chan5_c0,0xffff,b7:0 - tssi2_chan5_c0 ; b15:8 - tssi3_chan5_c0,,
1424,590,712,2C8,tssi4_chan5_c0 / tssi5_chan5_c0,0xffff,b7:0 - tssi4_chan5_c0 ; b15:8 - tssi5_chan5_c0,,
1426,592,713,2C9,tssi6_chan5_c0 / tssi7_chan5_c0,0xffff,b7:0 - tssi6_chan5_c0 ; b15:8 - tssi7_chan5_c0,,
1428,594,714,2CA,tssi8_chan5_c0 / tssi9_chan5_c0,0xffff,b7:0 - tssi8_chan5_c0 ; b15:8 - tssi9_chan5_c0,,
1430,596,715,2CB,tssi10_chan5_c0 / tssi11_chan5_c0,0xffff,b7:0 - tssi10_chan5_c0 ; b15:8 - tssi11_chan5_c0,,
1432,598,716,2CC,tssi12_chan5_c0 / tssi13_chan5_c0,0xffff,b7:0 - tssi12_chan5_c0 ; b15:8 - tssi13_chan5_c0,,
1434,59A,717,2CD,tssi14_chan5_c0 / tssi15_chan5_c0,0xffff,b7:0 - tssi14_chan5_c0 ; b15:8 - tssi15_chan5_c0,,
1436,59C,718,2CE,tssi16_chan5_c0 / tssi17_chan5_c0,0xffff,b7:0 - tssi16_chan5_c0 ; b15:8 - tssi17_chan5_c0,,
1438,59E,719,2CF,tssi18_chan5_c0 / tssi19_chan5_c0,0xffff,b7:0 - tssi18_chan5_c0 ; b15:8 - tssi19_chan5_c0,,
1440,5A0,720,2D0,tssi20_chan5_c0 / tssi21_chan5_c0,0xffff,b7:0 - tssi20_chan5_c0 ; b15:8 - tssi21_chan5_c0,,
1442,5A2,721,2D1,tssi0_chan5_c1 / tssi1_chan5_c1,0xffff,b7:0 - tssi0_chan5_c1 ; b15:8 - tssi1_chan5_c1,,
1444,5A4,722,2D2,tssi2_chan5_c1 / tssi3_chan5_c1,0xffff,b7:0 - tssi2_chan5_c1 ; b15:8 - tssi3_chan5_c1,,
1446,5A6,723,2D3,tssi4_chan5_c1 / tssi5_chan5_c1,0xffff,b7:0 - tssi4_chan5_c1 ; b15:8 - tssi5_chan5_c1,,
1448,5A8,724,2D4,tssi6_chan5_c1 / tssi7_chan5_c1,0xffff,b7:0 - tssi6_chan5_c1 ; b15:8 - tssi7_chan5_c1,,
1450,5AA,725,2D5,tssi8_chan5_c1 / tssi9_chan5_c1,0xffff,b7:0 - tssi8_chan5_c1 ; b15:8 - tssi9_chan5_c1,,
1452,5AC,726,2D6,tssi10_chan5_c1 / tssi11_chan5_c1,0xffff,b7:0 - tssi10_chan5_c1 ; b15:8 - tssi11_chan5_c1,,
1454,5AE,727,2D7,tssi12_chan5_c1 / tssi13_chan5_c1,0xffff,b7:0 - tssi12_chan5_c1 ; b15:8 - tssi13_chan5_c1,,
1456,5B0,728,2D8,tssi14_chan5_c1 / tssi15_chan5_c1,0xffff,b7:0 - tssi14_chan5_c1 ; b15:8 - tssi15_chan5_c1,,
1458,5B2,729,2D9,tssi16_chan5_c1 / tssi17_chan5_c1,0xffff,b7:0 - tssi16_chan5_c1 ; b15:8 - tssi17_chan5_c1,,
1460,5B4,730,2DA,tssi18_chan5_c1 / tssi19_chan5_c1,0xffff,b7:0 - tssi18_chan5_c1 ; b15:8 - tssi19_chan5_c1,,
1462,5B6,731,2DB,tssi20_chan5_c1 / tssi21_chan5_c1,0xffff,b7:0 - tssi20_chan5_c1 ; b15:8 - tssi21_chan5_c1,,
1464,5B8,732,2DC,tssi0_chan5_c2 / tssi1_chan5_c2,0xffff,b7:0 - tssi0_chan5_c2 ; b15:8 - tssi1_chan5_c2,,
1466,5BA,733,2DD,tssi2_chan5_c2 / tssi3_chan5_c2,0xffff,b7:0 - tssi2_chan5_c2 ; b15:8 - tssi3_chan5_c2,,
1468,5BC,734,2DE,tssi4_chan5_c2 / tssi5_chan5_c2,0xffff,b7:0 - tssi4_chan5_c2 ; b15:8 - tssi5_chan5_c2,,
1470,5BE,735,2DF,tssi6_chan5_c2 / tssi7_chan5_c2,0xffff,b7:0 - tssi6_chan5_c2 ; b15:8 - tssi7_chan5_c2,,
1472,5C0,736,2E0,tssi8_chan5_c2 / tssi9_chan5_c2,0xffff,b7:0 - tssi8_chan5_c2 ; b15:8 - tssi9_chan5_c2,,
1474,5C2,737,2E1,tssi10_chan5_c2 / tssi11_chan5_c2,0xffff,b7:0 - tssi10_chan5_c2 ; b15:8 - tssi11_chan5_c2,,
1476,5C4,738,2E2,tssi12_chan5_c2 / tssi13_chan5_c2,0xffff,b7:0 - tssi12_chan5_c2 ; b15:8 - tssi13_chan5_c2,,
1478,5C6,739,2E3,tssi14_chan5_c2 / tssi15_chan5_c2,0xffff,b7:0 - tssi14_chan5_c2 ; b15:8 - tssi15_chan5_c2,,
1480,5C8,740,2E4,tssi16_chan5_c2 / tssi17_chan5_c2,0xffff,b7:0 - tssi16_chan5_c2 ; b15:8 - tssi17_chan5_c2,,
1482,5CA,741,2E5,tssi18_chan5_c2 / tssi19_chan5_c2,0xffff,b7:0 - tssi18_chan5_c2 ; b15:8 - tssi19_chan5_c2,,
1484,5CC,742,2E6,tssi20_chan5_c2 / tssi21_chan5_c2,0xffff,b7:0 - tssi20_chan5_c2 ; b15:8 - tssi21_chan5_c2,,
1486,5CE,743,2E7,tssi0_chan6_c0 / tssi1_chan6_c0,0xffff,b7:0 - tssi0_chan6_c0 ; b15:8 - tssi1_chan6_c0,,
1488,5D0,744,2E8,tssi2_chan6_c0 / tssi3_chan6_c0,0xffff,b7:0 - tssi2_chan6_c0 ; b15:8 - tssi3_chan6_c0,,
1490,5D2,745,2E9,tssi4_chan6_c0 / tssi5_chan6_c0,0xffff,b7:0 - tssi4_chan6_c0 ; b15:8 - tssi5_chan6_c0,,
1492,5D4,746,2EA,tssi6_chan6_c0 / tssi7_chan6_c0,0xffff,b7:0 - tssi6_chan6_c0 ; b15:8 - tssi7_chan6_c0,,
1494,5D6,747,2EB,tssi8_chan6_c0 / tssi9_chan6_c0,0xffff,b7:0 - tssi8_chan6_c0 ; b15:8 - tssi9_chan6_c0,,
1496,5D8,748,2EC,tssi10_chan6_c0 / tssi11_chan6_c0,0xffff,b7:0 - tssi10_chan6_c0 ; b15:8 - tssi11_chan6_c0,,
1498,5DA,749,2ED,tssi12_chan6_c0 / tssi13_chan6_c0,0xffff,b7:0 - tssi12_chan6_c0 ; b15:8 - tssi13_chan6_c0,,
1500,5DC,750,2EE,tssi14_chan6_c0 / tssi15_chan6_c0,0xffff,b7:0 - tssi14_chan6_c0 ; b15:8 - tssi15_chan6_c0,,
1502,5DE,751,2EF,tssi16_chan6_c0 / tssi17_chan6_c0,0xffff,b7:0 - tssi16_chan6_c0 ; b15:8 - tssi17_chan6_c0,,
1504,5E0,752,2F0,tssi18_chan6_c0 / tssi19_chan6_c0,0xffff,b7:0 - tssi18_chan6_c0 ; b15:8 - tssi19_chan6_c0,,
1506,5E2,753,2F1,tssi20_chan6_c0 / tssi21_chan6_c0,0xffff,b7:0 - tssi20_chan6_c0 ; b15:8 - tssi21_chan6_c0,,
1508,5E4,754,2F2,tssi0_chan6_c1 / tssi1_chan6_c1,0xffff,b7:0 - tssi0_chan6_c1 ; b15:8 - tssi1_chan6_c1,,
1510,5E6,755,2F3,tssi2_chan6_c1 / tssi3_chan6_c1,0xffff,b7:0 - tssi2_chan6_c1 ; b15:8 - tssi3_chan6_c1,,
1512,5E8,756,2F4,tssi4_chan6_c1 / tssi5_chan6_c1,0xffff,b7:0 - tssi4_chan6_c1 ; b15:8 - tssi5_chan6_c1,,
1514,5EA,757,2F5,tssi6_chan6_c1 / tssi7_chan6_c1,0xffff,b7:0 - tssi6_chan6_c1 ; b15:8 - tssi7_chan6_c1,,
1516,5EC,758,2F6,tssi8_chan6_c1 / tssi9_chan6_c1,0xffff,b7:0 - tssi8_chan6_c1 ; b15:8 - tssi9_chan6_c1,,
1518,5EE,759,2F7,tssi10_chan6_c1 / tssi11_chan6_c1,0xffff,b7:0 - tssi10_chan6_c1 ; b15:8 - tssi11_chan6_c1,,
1520,5F0,760,2F8,tssi12_chan6_c1 / tssi13_chan6_c1,0xffff,b7:0 - tssi12_chan6_c1 ; b15:8 - tssi13_chan6_c1,,
1522,5F2,761,2F9,tssi14_chan6_c1 / tssi15_chan6_c1,0xffff,b7:0 - tssi14_chan6_c1 ; b15:8 - tssi15_chan6_c1,,
1524,5F4,762,2FA,tssi16_chan6_c1 / tssi17_chan6_c1,0xffff,b7:0 - tssi16_chan6_c1 ; b15:8 - tssi17_chan6_c1,,
1526,5F6,763,2FB,tssi18_chan6_c1 / tssi19_chan6_c1,0xffff,b7:0 - tssi18_chan6_c1 ; b15:8 - tssi19_chan6_c1,,
1528,5F8,764,2FC,tssi20_chan6_c1 / tssi21_chan6_c1,0xffff,b7:0 - tssi20_chan6_c1 ; b15:8 - tssi21_chan6_c1,,
1530,5FA,765,2FD,tssi0_chan6_c2 / tssi1_chan6_c2,0xffff,b7:0 - tssi0_chan6_c2 ; b15:8 - tssi1_chan6_c2,,
1532,5FC,766,2FE,tssi2_chan6_c2 / tssi3_chan6_c2,0xffff,b7:0 - tssi2_chan6_c2 ; b15:8 - tssi3_chan6_c2,,
1534,5FE,767,2FF,tssi4_chan6_c2 / tssi5_chan6_c2,0xffff,b7:0 - tssi4_chan6_c2 ; b15:8 - tssi5_chan6_c2,,
1536,600,768,300,tssi6_chan6_c2 / tssi7_chan6_c2,0xffff,b7:0 - tssi6_chan6_c2 ; b15:8 - tssi7_chan6_c2,,
1538,602,769,301,tssi8_chan6_c2 / tssi9_chan6_c2,0xffff,b7:0 - tssi8_chan6_c2 ; b15:8 - tssi9_chan6_c2,,
1540,604,770,302,tssi10_chan6_c2 / tssi11_chan6_c2,0xffff,b7:0 - tssi10_chan6_c2 ; b15:8 - tssi11_chan6_c2,,
1542,606,771,303,tssi12_chan6_c2 / tssi13_chan6_c2,0xffff,b7:0 - tssi12_chan6_c2 ; b15:8 - tssi13_chan6_c2,,
1544,608,772,304,tssi14_chan6_c2 / tssi15_chan6_c2,0xffff,b7:0 - tssi14_chan6_c2 ; b15:8 - tssi15_chan6_c2,,
1546,60A,773,305,tssi16_chan6_c2 / tssi17_chan6_c2,0xffff,b7:0 - tssi16_chan6_c2 ; b15:8 - tssi17_chan6_c2,,
1548,60C,774,306,tssi18_chan6_c2 / tssi19_chan6_c2,0xffff,b7:0 - tssi18_chan6_c2 ; b15:8 - tssi19_chan6_c2,,
1550,60E,775,307,tssi20_chan6_c2 / tssi21_chan6_c2,0xffff,b7:0 - tssi20_chan6_c2 ; b15:8 - tssi21_chan6_c2,,
1552,610,776,308,tssi0_chan7_c0 / tssi1_chan7_c0,0xffff,b7:0 - tssi0_chan7_c0 ; b15:8 - tssi1_chan7_c0,,
1554,612,777,309,tssi2_chan7_c0 / tssi3_chan7_c0,0xffff,b7:0 - tssi2_chan7_c0 ; b15:8 - tssi3_chan7_c0,,
1556,614,778,30A,tssi4_chan7_c0 / tssi5_chan7_c0,0xffff,b7:0 - tssi4_chan7_c0 ; b15:8 - tssi5_chan7_c0,,
1558,616,779,30B,tssi6_chan7_c0 / tssi7_chan7_c0,0xffff,b7:0 - tssi6_chan7_c0 ; b15:8 - tssi7_chan7_c0,,
1560,618,780,30C,tssi8_chan7_c0 / tssi9_chan7_c0,0xffff,b7:0 - tssi8_chan7_c0 ; b15:8 - tssi9_chan7_c0,,
1562,61A,781,30D,tssi10_chan7_c0 / tssi11_chan7_c0,0xffff,b7:0 - tssi10_chan7_c0 ; b15:8 - tssi11_chan7_c0,,
1564,61C,782,30E,tssi12_chan7_c0 / tssi13_chan7_c0,0xffff,b7:0 - tssi12_chan7_c0 ; b15:8 - tssi13_chan7_c0,,
1566,61E,783,30F,tssi14_chan7_c0 / tssi15_chan7_c0,0xffff,b7:0 - tssi14_chan7_c0 ; b15:8 - tssi15_chan7_c0,,
1568,620,784,310,tssi16_chan7_c0 / tssi17_chan7_c0,0xffff,b7:0 - tssi16_chan7_c0 ; b15:8 - tssi17_chan7_c0,,
1570,622,785,311,tssi18_chan7_c0 / tssi19_chan7_c0,0xffff,b7:0 - tssi18_chan7_c0 ; b15:8 - tssi19_chan7_c0,,
1572,624,786,312,tssi20_chan7_c0 / tssi21_chan7_c0,0xffff,b7:0 - tssi20_chan7_c0 ; b15:8 - tssi21_chan7_c0,,
1574,626,787,313,tssi0_chan7_c1 / tssi1_chan7_c1,0xffff,b7:0 - tssi0_chan7_c1 ; b15:8 - tssi1_chan7_c1,,
1576,628,788,314,tssi2_chan7_c1 / tssi3_chan7_c1,0xffff,b7:0 - tssi2_chan7_c1 ; b15:8 - tssi3_chan7_c1,,
1578,62A,789,315,tssi4_chan7_c1 / tssi5_chan7_c1,0xffff,b7:0 - tssi4_chan7_c1 ; b15:8 - tssi5_chan7_c1,,
1580,62C,790,316,tssi6_chan7_c1 / tssi7_chan7_c1,0xffff,b7:0 - tssi6_chan7_c1 ; b15:8 - tssi7_chan7_c1,,
1582,62E,791,317,tssi8_chan7_c1 / tssi9_chan7_c1,0xffff,b7:0 - tssi8_chan7_c1 ; b15:8 - tssi9_chan7_c1,,
1584,630,792,318,tssi10_chan7_c1 / tssi11_chan7_c1,0xffff,b7:0 - tssi10_chan7_c1 ; b15:8 - tssi11_chan7_c1,,
1586,632,793,319,tssi12_chan7_c1 / tssi13_chan7_c1,0xffff,b7:0 - tssi12_chan7_c1 ; b15:8 - tssi13_chan7_c1,,
1588,634,794,31A,tssi14_chan7_c1 / tssi15_chan7_c1,0xffff,b7:0 - tssi14_chan7_c1 ; b15:8 - tssi15_chan7_c1,,
1590,636,795,31B,tssi16_chan7_c1 / tssi17_chan7_c1,0xffff,b7:0 - tssi16_chan7_c1 ; b15:8 - tssi17_chan7_c1,,
1592,638,796,31C,tssi18_chan7_c1 / tssi19_chan7_c1,0xffff,b7:0 - tssi18_chan7_c1 ; b15:8 - tssi19_chan7_c1,,
1594,63A,797,31D,tssi20_chan7_c1 / tssi21_chan7_c1,0xffff,b7:0 - tssi20_chan7_c1 ; b15:8 - tssi21_chan7_c1,,
1596,63C,798,31E,tssi0_chan7_c2 / tssi1_chan7_c2,0xffff,b7:0 - tssi0_chan7_c2 ; b15:8 - tssi1_chan7_c2,,
1598,63E,799,31F,tssi2_chan7_c2 / tssi3_chan7_c2,0xffff,b7:0 - tssi2_chan7_c2 ; b15:8 - tssi3_chan7_c2,,
1600,640,800,320,tssi4_chan7_c2 / tssi5_chan7_c2,0xffff,b7:0 - tssi4_chan7_c2 ; b15:8 - tssi5_chan7_c2,,
1602,642,801,321,tssi6_chan7_c2 / tssi7_chan7_c2,0xffff,b7:0 - tssi6_chan7_c2 ; b15:8 - tssi7_chan7_c2,,
1604,644,802,322,tssi8_chan7_c2 / tssi9_chan7_c2,0xffff,b7:0 - tssi8_chan7_c2 ; b15:8 - tssi9_chan7_c2,,
1606,646,803,323,tssi10_chan7_c2 / tssi11_chan7_c2,0xffff,b7:0 - tssi10_chan7_c2 ; b15:8 - tssi11_chan7_c2,,
1608,648,804,324,tssi12_chan7_c2 / tssi13_chan7_c2,0xffff,b7:0 - tssi12_chan7_c2 ; b15:8 - tssi13_chan7_c2,,
1610,64A,805,325,tssi14_chan7_c2 / tssi15_chan7_c2,0xffff,b7:0 - tssi14_chan7_c2 ; b15:8 - tssi15_chan7_c2,,
1612,64C,806,326,tssi16_chan7_c2 / tssi17_chan7_c2,0xffff,b7:0 - tssi16_chan7_c2 ; b15:8 - tssi17_chan7_c2,,
